Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Frage,Antwort,Kategorie
An wen kann ich mich bei Reparaturen oder Mängeln in der Wohnung wenden?,an-wen-kann-ich-mich-bei-reparaturen-oder-mangeln-in-der-wohnung-wenden,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684978d27dd80bcd4c526faf,false,false,Wed Jun 11 2025 12:38:42 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:45 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),An wen kann ich mich bei Reparaturen oder Mängeln in der Wohnung wenden?,Bitte melden Sie Schäden oder Mängel direkt an uns - idealerweise per E-Mail oder über unser Kontaktformular. In dringenden Fällen (z. B. Wasserrohrbruch) stehen wir auch über unsere Notfallnummer zur Verfügung.,mieter
Darf ich Haustiere in der Wohnung halten?,darf-ich-haustiere-in-der-wohnung-halten,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,6849799c4d7140b0165588d7,false,false,Wed Jun 11 2025 12:42:04 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:04 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich Haustiere in der Wohnung halten?,"Die Haltung kleiner Haustiere (z. B. Hamster, Katzen) ist in der Regel erlaubt. Für Hunde oder andere größere Tiere ist eine vorherige Zustimmung des Vermieters bzw. der Hausverwaltung notwendig. Bitte beachten Sie dabei auch die Hausordnung.",mieter
Darf ich bauliche Änderungen in der Wohnung vornehmen?,darf-ich-bauliche-anderungen-in-der-wohnung-vornehmen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497959918924ea97fbe4df,false,false,Wed Jun 11 2025 12:40:57 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:20 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich bauliche Änderungen in der Wohnung vornehmen?,"Kleinere Änderungen (z. B. Wandfarbe) sind meist erlaubt. Größere Umbauten – etwa an Sanitäranlagen, Elektrik oder Böden – müssen jedoch unbedingt vorab von der Hausverwaltung genehmigt werden.",mieter
Darf ich meine Eigentumswohnung vermieten (z. B. über Airbnb)?,darf-ich-meine-eigentumswohnung-vermieten-z-b-uber-airbnb,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684978a665fc81040d740ae5,false,false,Wed Jun 11 2025 12:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:52 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich meine Eigentumswohnung vermieten (z. B. über Airbnb)?,"Kurzzeitvermietungen können in vielen Fällen untersagt sein, vor allem wenn sie dem Charakter der Liegenschaft widersprechen. Hier gelten sowohl das WEG als auch lokale Verordnungen der Stadt Wien. Wir beraten Sie gerne individuell dazu.",eigentumer
Ich suche eine bestimmte Immobilie – wie kann ich Ihnen mein Suchprofil übermitteln?,wie-kann-ich-ihnen-mein-suchprofil-ubermitteln,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684975d6bf62ce392272d543,false,false,Wed Jun 11 2025 12:25:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:25:51 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Ich suche eine bestimmte Immobilie - wie kann ich Ihnen mein Suchprofil übermitteln?,"Sie können ganz einfach online ein Suchprofil ausfüllen. Wir informieren Sie dann automatisch, sobald eine passende Immobilie verfügbar ist – individuell nach Ihren Kriterien wie Lage, Größe, Preis und Ausstattung.",alle-2
Kann ich Einsicht in meine Abrechnungen oder Unterlagen bekommen?,kann-ich-einsicht-in-meine-abrechnungen-oder-unterlagen-bekommen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976b5b491e75fb8ad2f3a,false,false,Wed Jun 11 2025 12:29:41 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:19 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Kann ich Einsicht in meine Abrechnungen oder Unterlagen bekommen?,"Selbstverständlich. Als Eigentümer erhalten Sie jederzeit Zugang zu relevanten Unterlagen, Abrechnungen und Protokollen. Auf Wunsch stellen wir Ihnen diese auch digital zur Verfügung.",eigentumer
Können Sie mich bei einem Immobilienverkauf unterstützen?,konnen-sie-mich-bei-einem-immobilienverkauf-unterstutzen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976129d2bee71d6908142,false,false,Wed Jun 11 2025 12:26:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:41 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Können Sie mich bei einem Immobilienverkauf unterstützen?,"Ja, sehr gerne. Wir bewerten Ihre Immobilie marktgerecht, erstellen ein professionelles Exposé, bewerben sie gezielt und übernehmen alle Schritte bis zum erfolgreichen Abschluss des Verkaufs.",eigentumer
Muss ich als Mieter eine Haushaltsversicherung abschließen?,muss-ich-als-mieter-eine-haushaltsversicherung-abschliessen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684979800a5f9dfd75294106,false,false,Wed Jun 11 2025 12:41:36 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:14 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Muss ich als Mieter eine Haushaltsversicherung abschließen?,"Eine Haushaltsversicherung ist gesetzlich nicht verpflichtend, wird aber dringend empfohlen. Sie schützt bei Schäden durch Wasser, Feuer, Einbruch oder Glasbruch – sowohl für Ihre Einrichtung als auch im Schadensfall gegenüber Dritten.",mieter
Verwalten Sie auch Zinshäuser oder Eigentümergemeinschaften (WEGs)?,verwalten-sie-auch-zinshauser-oder-eigentumergemeinschaften-wegs,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976934ee24d70a6b2df2a,false,false,Wed Jun 11 2025 12:29:07 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:28 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Verwalten Sie auch Zinshäuser oder Eigentümergemeinschaften (WEGs)?,"Ja, wir betreuen sowohl klassische Mietzinshäuser als auch Wohnungseigentümergemeinschaften und passen unsere Leistungen flexibel an die jeweiligen Bedürfnisse an.",eigentumer
Wann findet die Eigentümerversammlung statt?,wann-findet-die-eigentumerversammlung-statt,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684977ebd144d86376a84a51,false,false,Wed Jun 11 2025 12:34:51 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:30 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wann findet die Eigentümerversammlung statt?,"Eine ordentliche Eigentümerversammlung findet in der Regel einmal jährlich statt. Sie wird rechtzeitig angekündigt und umfasst Berichte zur Verwaltung, geplante Maßnahmen, Abrechnungen sowie Abstimmungen zu wichtigen Entscheidungen.",eigentumer
Wann und wie oft bekomme ich eine Betriebskostenabrechnung?,wann-und-wie-oft-bekomme-ich-eine-betriebskostenabrechnung,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684977783db1bae97b8ddb99,false,false,Wed Jun 11 2025 12:32:56 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:57 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wann und wie oft bekomme ich eine Betriebskostenabrechnung?,Die Betriebskostenabrechnung erfolgt in der Regel einmal jährlich. Als Hausverwaltung erstellen wir diese fristgerecht gemäß den Vorgaben des Mietrechtsgesetzes (MRG) oder Wohnungseigentumsgesetzes (WEG).,mieter
Was genau macht eine Hausverwaltung?,was-genau-macht-eine-hausverwaltung,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497524c0a33df4faac38a3,false,false,Wed Jun 11 2025 12:23:00 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:25:41 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was genau macht eine Hausverwaltung?,"Wir übernehmen die komplette Betreuung Ihrer Immobilie – von der laufenden Verwaltung über die Instandhaltung bis hin zur rechtlichen und finanziellen Abwicklung. Dazu gehören auch die Mieterbetreuung, Abrechnungen und Koordination von Handwerksbetrieben.",alle-2
Was gilt als „allgemeiner Bereich“ und was muss ich selbst instand halten?,was-gilt-als-allgemeiner-bereich-und-was-muss-ich-selbst-instand-halten,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684978f8b61fbfa601c75ce1,false,false,Wed Jun 11 2025 12:39:20 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:40 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was gilt als „allgemeiner Bereich“ und was muss ich selbst instand halten?,"Allgemeine Bereiche wie Stiegenhaus, Aufzug, Fassade oder Dach werden durch die Hausverwaltung betreut. Für die Instandhaltung innerhalb Ihrer Wohnung (z. B. Wasserhähne, Armaturen, Geräte) sind grundsätzlich Sie als Mieter verantwortlich.",mieter
Was muss ich bei der Wohnungsrückgabe beachten?,was-muss-ich-bei-der-wohnungsruckgabe-beachten,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684979c260ee65bf38843a54,false,false,Wed Jun 11 2025 12:42:42 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:11:55 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was muss ich bei der Wohnungsrückgabe beachten?,"Die Wohnung muss in einem ordentlichen Zustand zurückgegeben werden – leergeräumt, gereinigt und mit allen Schlüsseln. Etwaige Schäden, die über normale Abnutzung hinausgehen, müssen vorher behoben werden.",mieter
"Was passiert im Notfall, z. B. bei einem Wasserschaden?",was-passiert-im-notfall,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976e38f7adcc7ee3f4a1b,false,false,Wed Jun 11 2025 12:30:27 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:25:58 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),"Was passiert im Notfall, z. B. bei einem Wasserschaden?",Für dringende Fälle sind wir über unsere Notfallnummer auch außerhalb der Bürozeiten erreichbar. Wir kümmern uns schnellstmöglich um die Schadensbehebung.,alle-2
Was regelt das Wohnungseigentumsgesetz (WEG)?,was-regelt-das-wohnungseigentumsgesetz-weg,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497860f60530c8d36f8ce2,false,false,Wed Jun 11 2025 12:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:10 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was regelt das Wohnungseigentumsgesetz (WEG)?,"Das WEG regelt die Rechte und Pflichten innerhalb einer Eigentümergemeinschaft – etwa die Aufteilung der Kosten, Abstimmungsprozesse, Verwaltung der Rücklagen oder bauliche Veränderungen an der Liegenschaft.",eigentumer
Was sind Betriebskosten und wie setzen sie sich zusammen?,was-sind-betriebskosten-und-wie-setzen-sie-sich-zusammen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684977418f7adcc7ee3f9c53,false,false,Wed Jun 11 2025 12:32:01 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:03 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was sind Betriebskosten und wie setzen sie sich zusammen?,"Betriebskosten umfassen alle laufenden Ausgaben zur Bewirtschaftung eines Hauses, z. B. Wasser, Heizung, Müllabfuhr, Hausreinigung oder Versicherungen. Diese Kosten werden in der Regel jährlich gegenüber den Mietern bzw. Eigentümern abgerechnet.",mieter
Was sind Rücklagen und wofür werden sie verwendet?,was-sind-rucklagen-und-wofur-werden-sie-verwendet,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,6849779afcc13dbbe7f882e4,false,false,Wed Jun 11 2025 12:33:30 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:49 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Was sind Rücklagen und wofür werden sie verwendet?,"Rücklagen dienen der Vorsorge für größere Instandhaltungen oder Sanierungen des Gebäudes, etwa für Dach, Fassade oder Aufzug. Sie sind gesetzlich verpflichtend bei Wohnungseigentum und werden monatlich angespart.",eigentumer
Welche Kosten fallen für die Hausverwaltung an?,welche-kosten-fallen-fur-die-hausverwaltung-an,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497648199ff97f4c20e93c,false,false,Wed Jun 11 2025 12:27:52 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:34 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Welche Kosten fallen für die Hausverwaltung an?,Die Kosten richten sich nach dem Umfang der Leistungen und der Größe der Liegenschaft. Gerne erstellen wir Ihnen ein individuelles Angebot – transparent und ohne versteckte Gebühren.,eigentumer
Welche Leistungen bieten Sie als Hausverwaltung an?,welche-leistungen-bieten-sie-als-hausverwaltung-an,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,6849758c4b35868f7f9df599,false,false,Wed Jun 11 2025 12:24:44 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:15:17 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Welche Leistungen bieten Sie als Hausverwaltung an?,"Unsere Leistungen umfassen unter anderem die Betriebskostenabrechnung, Organisation von Reparaturen und Wartungen, Kommunikation mit Mietern, Verwaltung von Rücklagen sowie die Einhaltung gesetzlicher Vorgaben und Fristen.",eigentumer
Welche Pflichten habe ich als Wohnungseigentümer?,welche-pflichten-habe-ich-als-wohnungseigentumer,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497832b61fbfa601c6e32b,false,false,Wed Jun 11 2025 12:36:02 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:18 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Welche Pflichten habe ich als Wohnungseigentümer?,"Als Eigentümer sind Sie verpflichtet, die allgemeinen Kosten anteilig zu tragen, sich an Beschlüssen der Eigentümerversammlung zu halten und Ihre Einheit ordnungsgemäß zu nutzen. Auch Instandhaltungen innerhalb Ihrer Wohnung liegen in Ihrer Verantwortung.",eigentumer
Wie erfolgt die Übergabe der Verwaltung bei einem Verwalterwechsel?,wie-erfolgt-die-ubergabe-der-verwaltung-bei-einem-verwalterwechsel,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497881b61fbfa601c7110b,false,false,Wed Jun 11 2025 12:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:00 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie erfolgt die Übergabe der Verwaltung bei einem Verwalterwechsel?,"Nach Bestellung durch die Eigentümer übernehmen wir die Liegenschaft geordnet und stimmen die Datenübergabe, Abrechnungen und offenen Punkte direkt mit dem bisherigen Verwalter ab. Eigentümer müssen sich dabei um nichts kümmern.",eigentumer
Wie läuft die Immobilienvermittlung ab?,wie-lauft-die-immobilienvermittlung-ab,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684975afed535c6a5a8bc532,false,false,Wed Jun 11 2025 12:25:19 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:25:47 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie läuft die Immobilienvermittlung ab?,"Wenn Sie eine Immobilie verkaufen oder kaufen möchten, begleiten wir Sie von der ersten Beratung bis zum Vertragsabschluss. Wir übernehmen die Exposé-Erstellung, Besichtigungen, Preisverhandlungen und alle administrativen Schritte.",alle-2
Wie läuft eine Eigentümerversammlung ab?,wie-lauft-eine-eigentumerversammlung-ab,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497808c30a2e8b82d96a6a,false,false,Wed Jun 11 2025 12:35:20 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:25 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie läuft eine Eigentümerversammlung ab?,"Wir laden alle Eigentümer schriftlich ein und stellen Unterlagen wie Abrechnungen oder geplante Sanierungen vor. Beschlüsse werden nach den Vorgaben des WEG gefasst – entweder mit einfacher oder qualifizierter Mehrheit, je nach Thema.",eigentumer
Wie und wann bezahle ich die Miete?,wie-und-wann-bezahle-ich-die-miete,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,6849791ef64c4769eb2a0d29,false,false,Wed Jun 11 2025 12:39:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:30 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie und wann bezahle ich die Miete?,Die Miete ist monatlich im Voraus – üblicherweise bis zum 5. Werktag – auf das angegebene Konto zu überweisen. Die Kontodaten und Ihren Verwendungszweck finden Sie in Ihrem Mietvertrag oder auf der letzten Abrechnung.,mieter
Wie verhalte ich mich bei Lärm oder Nachbarschaftskonflikten?,wie-verhalte-ich-mich-bei-larm-oder-nachbarschaftskonflikten,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684979e1d7fb6dc3f3d1c2f5,false,false,Wed Jun 11 2025 12:43:13 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:11:44 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie verhalte ich mich bei Lärm oder Nachbarschaftskonflikten?,"Bitte versuchen Sie zunächst, das Gespräch mit den Nachbarn zu suchen. Sollte sich das Problem nicht lösen lassen, können Sie sich an uns wenden – wir kümmern uns um eine sachliche Klärung im Rahmen der Hausordnung.",mieter
Wie wird die Höhe der Rücklagen bestimmt?,wie-wird-die-hohe-der-rucklagen-bestimmt,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684977c2f0dbbc8e6140d774,false,false,Wed Jun 11 2025 12:34:10 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:44 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wie wird die Höhe der Rücklagen bestimmt?,"Die Rücklagenhöhe richtet sich nach dem Zustand und dem Alter der Liegenschaft. Wir analysieren regelmäßig den Sanierungsbedarf und passen die Rücklagenempfehlung entsprechend an, um Überraschungen zu vermeiden.",eigentumer
